"CTF NORTHERN WATCH INCIRLIK AB TU CC CS","CTF NORTHERN WATCH INCIRLIK AB TU CC CS","LOCATION"
"OIC COLLECTIVE","OIC COLLECTIVE","LOCATION"
"CSA DACS-ZA","CSA DACS-ZA","LOCATION"
"India Mumbai","India Mumbai","LOCATION"
"Joint Chiefs of Staff","Joint Chiefs of Staff","LOCATION"
"Albania Tirana","Albania Tirana","LOCATION"
"Chairman Joint Chiefs of Staff","Chairman Joint Chiefs of Staff","LOCATION"
"Argentina Buenos Aires","Argentina Buenos Aires","LOCATION"
"National Security Council","National Security Council","LOCATION"
"Group Destinations Commonwealth of Independent States","Group Destinations Commonwealth of Independent States","LOCATION"
"CDRTAMC HONOLULU HI COE","CDRTAMC HONOLULU HI COE","LOCATION"
"ARAB-ISRAELI COLLECTIVE","ARAB-ISRAELI COLLECTIVE","LOCATION"
"Cambodia Phnom Penh","Cambodia Phnom Penh","LOCATION"
"Guyana Georgetown","Guyana Georgetown","LOCATION"
"DEPTLABOR","DEPTLABOR","LOCATION"
"Department of Agriculture","Department of Agriculture","LOCATION"
"Denmark Copenhagen","Denmark Copenhagen","LOCATION"
"COMMISSIONER USINS","COMMISSIONER USINS","LOCATION"
"Department of Labor","Department of Labor","LOCATION"
"China Hong Kong","China Hong Kong","LOCATION"
"Kenya Nairobi","Kenya Nairobi","LOCATION"
"DEPT OF TRANS","DEPT OF TRANS","LOCATION"
"Commander in Chief US Pacific Fleet","Commander in Chief US Pacific Fleet","LOCATION"
"Rwanda Rwanda Collective","Rwanda Rwanda Collective","LOCATION"
"CDR JTF-FA HONOLULU HI","CDR JTF-FA HONOLULU HI","LOCATION"
"Namibia Windhoek","Namibia Windhoek","LOCATION"
"DMINE COLLECTIVE","DMINE COLLECTIVE","LOCATION"
"CDC ATLANTA GA","CDC ATLANTA GA","LOCATION"
"CSSG LAUREL MD","CSSG LAUREL MD","LOCATION"
"CINCUSACOM NORFOLK VA","CINCUSACOM NORFOLK VA","LOCATION"
"Yemen Sana''a","Yemen Sana''a","LOCATION"
"Gabon Libreville","Gabon Libreville","LOCATION"
"CIMS NTDB","CIMS NTDB","LOCATION"
"Intergovernmental Authority on Development (IGAD)","Intergovernmental Authority on Development (IGAD)","LOCATION"
"Turkmenistan Ashgabat","Turkmenistan Ashgabat","LOCATION"
"Federal Bureau of Investigation","Federal Bureau of Investigation","LOCATION"
"Economic Community of West African States (ECOWAS)","Economic Community of West African States (ECOWAS)","LOCATION"
"Defense Attache Office Dakar","Defense Attache Office Dakar","LOCATION"
"CDRTAMC HONOLULU HI","CDRTAMC HONOLULU HI","LOCATION"
"OAU COLLECTIVE","OAU COLLECTIVE","LOCATION"
"Bahamas Nassau","Bahamas Nassau","LOCATION"
"Burma Yangon","Burma Yangon","LOCATION"
"CDC ATLANTA","CDC ATLANTA","LOCATION"
"ARF COLLECTIVE","ARF COLLECTIVE","LOCATION"
"Nigeria Abuja","Nigeria Abuja","LOCATION"
"CJTFSWA RIYADH SA","CJTFSWA RIYADH SA","LOCATION"
"Mexico Mexico City","Mexico Mexico City","LOCATION"
"HQINS","HQINS","LOCATION"
"Belarus Minsk","Belarus Minsk","LOCATION"
"DIRFBI","DIRFBI","LOCATION"
"Indonesia Jakarta","Indonesia Jakarta","LOCATION"
"Group Destinations All African Diplomatic Posts","Group Destinations All African Diplomatic Posts","LOCATION"
"RUCJACC USCENTCOM MACDILL AFB FL","RUCJACC USCENTCOM MACDILL AFB FL","LOCATION"
"UAEG","UAEG","LOCATION"
"Department of Justice","Department of Justice","LOCATION"
"Chief of Naval Operations","Chief of Naval Operations","LOCATION"
"Iraq Iraq Collective","Iraq Iraq Collective","LOCATION"
"IRAQI PEOPLE","IRAQI PEOPLE","LOCATION"
"ANGER","ANGER","LOCATION"
"Bosnia and Herzegovina Sarajevo","Bosnia and Herzegovina Sarajevo","LOCATION"
"CDR4THPSYOPGP FT BRAGG NC AOCP-POG-SB","CDR4THPSYOPGP FT BRAGG NC AOCP-POG-SB","LOCATION"
"Group Destinations Bureau of Western Hemisphere Affairs","Group Destinations Bureau of Western Hemisphere Affairs","LOCATION"
"Neo4jIraq","Iraq","LOCATION"
"CDR USSOCOM MACDILL AFB FL SOJ2 HSE","CDR USSOCOM MACDILL AFB FL SOJ2 HSE","LOCATION"
"RUEAUSA USDOHHS","RUEAUSA USDOHHS","LOCATION"
"Brazil São Paulo","Brazil São Paulo","LOCATION"
"Saudi Arabia Riyadh","Saudi Arabia Riyadh","LOCATION"
"Department of Health and Human Services","Department of Health and Human Services","LOCATION"
"Commercial Information Management System/National Trade Data Bank","Commercial Information Management System/National Trade Data Bank","LOCATION"
"RUEHXD MISSILE TECH CONTR REGIME COLLECTIVE","RUEHXD MISSILE TECH CONTR REGIME COLLECTIVE","LOCATION"
"ALL CANADIAN POST COLLECTIVE","ALL CANADIAN POST COLLECTIVE","LOCATION"
"Department of the Interior","Department of the Interior","LOCATION"
"RUCAACC USCENTCOM MACDILL AFB FL CCJ5","RUCAACC USCENTCOM MACDILL AFB FL CCJ5","LOCATION"
"RHMFISS HQ COALITION PROVISIONAL AUTH BAGHDAD","RHMFISS HQ COALITION PROVISIONAL AUTH BAGHDAD","LOCATION"
"RHRMDAE COMFIFTHFLT","RHRMDAE COMFIFTHFLT","LOCATION"
"THE IMF WB MEETINGS IN DUBAI","THE IMF WB MEETINGS IN DUBAI","LOCATION"
"Japan Tokyo","Japan Tokyo","LOCATION"
"RUEHMEP MEPIC COLLECTIVE","RUEHMEP MEPIC COLLECTIVE","LOCATION"
"ALSAC ALL SOUTH ASIA COLLECTIVE","ALSAC ALL SOUTH ASIA COLLECTIVE","LOCATION"
"AMCONSUL ZEN CHENGDU","AMCONSUL ZEN CHENGDU","LOCATION"
"RHMFIUU HQ COALITION PROVISIONAL AUTH BAGHDAD","RHMFIUU HQ COALITION PROVISIONAL AUTH BAGHDAD","LOCATION"
"THE COMMON DEFENSE: UAE SUBMISSION","THE COMMON DEFENSE: UAE SUBMISSION","LOCATION"
"CJTF HOA","CJTF HOA","LOCATION"
"Haiti Port-au-Prince","Haiti Port-au-Prince","LOCATION"
"EU CANDIDATE STATES COLLECTIVE","EU CANDIDATE STATES COLLECTIVE","LOCATION"
"AMEBASSY RABAT","AMEBASSY RABAT","LOCATION"
"Germany Berlin","Germany Berlin","LOCATION"
"HQ COALITION PROV AUTH BAGHDAD","HQ COALITION PROV AUTH BAGHDAD","LOCATION"
"HQ COALITION PROVISIONAL AUTH BAGHDAD","HQ COALITION PROVISIONAL AUTH BAGHDAD","LOCATION"
"Department of Homeland Security","Department of Homeland Security","LOCATION"
"RUCNEEC EASTERN EUROPEAN COUNTRIES COLLECTIVE","RUCNEEC EASTERN EUROPEAN COUNTRIES COLLECTIVE","LOCATION"
"Spain Madrid","Spain Madrid","LOCATION"
"AVOID THE US DUE TO VISA AND BORDER PROCEDURES.","AVOID THE US DUE TO VISA AND BORDER PROCEDURES.","LOCATION"
"RUEHGB CPA BAGHDAD","RUEHGB CPA BAGHDAD","LOCATION"
"RHMFISS HQS COALITION PROVISIONAL AUTHORITY BAGHDAD","RHMFISS HQS COALITION PROVISIONAL AUTHORITY BAGHDAD","LOCATION"
"CPA BAGHDAD","CPA BAGHDAD","LOCATION"
"DIR FBI","DIR FBI","LOCATION"
"RUEAHQA OSAF IA IAR","RUEAHQA OSAF IA IAR","LOCATION"
"CDR USEUCOM VAIHINGEN GE","CDR USEUCOM VAIHINGEN GE","LOCATION"
"Côte d''Ivoire Abidjan","Côte d''Ivoire Abidjan","LOCATION"
"CJCS WASHINGTON DC","CJCS WASHINGTON DC","LOCATION"
"ISLAM COLLECTIVE","ISLAM COLLECTIVE","LOCATION"
"ALNEA ALL NEAR EAST COLLECTIVE","ALNEA ALL NEAR EAST COLLECTIVE","LOCATION"
"ALL USDOC DISTDIR COLLECTIVE","ALL USDOC DISTDIR COLLECTIVE","LOCATION"
"Department of Energy","Department of Energy","LOCATION"
"RUEHMEP THE MIDDLE EAST PARTNERSHIP INITIATIVE","RUEHMEP THE MIDDLE EAST PARTNERSHIP INITIATIVE","LOCATION"
"Islamic Collective","Islamic Collective","LOCATION"
"Bulgaria Sofia","Bulgaria Sofia","LOCATION"
"Kazakhstan Almaty","Kazakhstan Almaty","LOCATION"
"Morocco Rabat","Morocco Rabat","LOCATION"
"RUEHC MISSLE TECHNOLOGY CONTROL REGIME","RUEHC MISSLE TECHNOLOGY CONTROL REGIME","LOCATION"
"39ABG INCIRLIK AB TU CC","39ABG INCIRLIK AB TU CC","LOCATION"
"Iraq Basra","Iraq Basra","LOCATION"
"African Union","African Union","LOCATION"
"COMSCEUR LONDON UK","COMSCEUR LONDON UK","LOCATION"
"Burkina Faso Ouagadougou","Burkina Faso Ouagadougou","LOCATION"
"Department of Defense","Department of Defense","LOCATION"
"CDR USEUCOM INTEL VAIHINGEN GE ECJ2 ECJ5-E","CDR USEUCOM INTEL VAIHINGEN GE ECJ2 ECJ5-E","LOCATION"
"Missile Technology Control Regime","Missile Technology Control Regime","LOCATION"
"Azerbaijan Baku","Azerbaijan Baku","LOCATION"
"China All China Posts","China All China Posts","LOCATION"
"East Timor Dili","East Timor Dili","LOCATION"
"CSAF WASHINGTON DC POLAD","CSAF WASHINGTON DC POLAD","LOCATION"
"Mongolia Ulan Bator","Mongolia Ulan Bator","LOCATION"
"NOAA NMFS SILVER SPRING MD","NOAA NMFS SILVER SPRING MD","LOCATION"
"Belize Belize","Belize Belize","LOCATION"
"ALL EUROPEAN COMMUNITY POST COLLECTIVE","ALL EUROPEAN COMMUNITY POST COLLECTIVE","LOCATION"
"Joint Analysis Center Molesworth","Joint Analysis Center Molesworth","LOCATION"
"Germany Frankfurt","Germany Frankfurt","LOCATION"
"Georgia Tbilisi","Georgia Tbilisi","LOCATION"
"CINCUSEUCOM VAIHINGEN GE","CINCUSEUCOM VAIHINGEN GE","LOCATION"
"39th Air Base Wing Incirlik Air Base, Turkey","39th Air Base Wing Incirlik Air Base, Turkey","LOCATION"
"NATO - European Union Cooperative","NATO - European Union Cooperative","LOCATION"
"Northern Ireland Belfast","Northern Ireland Belfast","LOCATION"
"ALL US CONSULATES IN MEXICO COLLECTIVE","ALL US CONSULATES IN MEXICO COLLECTIVE","LOCATION"
"RHWSMRC MCF01 SACCS USCINCCENT MACDILL AFB FL","RHWSMRC MCF01 SACCS USCINCCENT MACDILL AFB FL","LOCATION"
"Department of Transportation","Department of Transportation","LOCATION"
"United Kingdom London","United Kingdom London","LOCATION"
"Malawi Lilongwe","Malawi Lilongwe","LOCATION"
"Mexico All posts in Mexico","Mexico All posts in Mexico","LOCATION"
"Portugal Lisbon","Portugal Lisbon","LOCATION"
"Australia Sydney","Australia Sydney","LOCATION"
"Combined Joint Task Force Horn of Africa","Combined Joint Task Force Horn of Africa","LOCATION"
"Coast Guard","Coast Guard","LOCATION"
"CDR USEUCOM INTEL VAIHINGEN GE ECJ2 ECJ3 ECJ4 ECJ5","CDR USEUCOM INTEL VAIHINGEN GE ECJ2 ECJ3 ECJ4 ECJ5","LOCATION"
"CDR SATMO FT BRAGG NC AOJK-SA","CDR SATMO FT BRAGG NC AOJK-SA","LOCATION"
"Center for Disease Control","Center for Disease Control","LOCATION"
"RUCPDC NOAA NMFS SILVER SPRING MD","RUCPDC NOAA NMFS SILVER SPRING MD","LOCATION"
"National Counterterrorism Center (NCTC)","National Counterterrorism Center (NCTC)","LOCATION"
"RUCNBEH BRASILIA ENVIRONMENTAL HUB COLLECTIVE","RUCNBEH BRASILIA ENVIRONMENTAL HUB COLLECTIVE","LOCATION"
"Hungary Budapest","Hungary Budapest","LOCATION"
"Commander in Chief Southern Command","Commander in Chief Southern Command","LOCATION"
"Federal Aviation Administration","Federal Aviation Administration","LOCATION"
"Caribbean Community","Caribbean Community","LOCATION"
"RUEPGCA USEUCOM AIDES VAIHINGEN GE","RUEPGCA USEUCOM AIDES VAIHINGEN GE","LOCATION"
"RHMCSUU CDR USEUCOM VAIHINGEN GE","RHMCSUU CDR USEUCOM VAIHINGEN GE","LOCATION"
"Cuba Havana","Cuba Havana","LOCATION"
"Uzbekistan Tashkent","Uzbekistan Tashkent","LOCATION"
"Organization for Security and Co-operation in Europe","Organization for Security and Co-operation in Europe","LOCATION"
"RHDIFCC FCC","RHDIFCC FCC","LOCATION"
"Commander Iceland Defense Forces","Commander Iceland Defense Forces","LOCATION"
"Peru Lima","Peru Lima","LOCATION"
"RUCUSTR USSTRATCOM OFFUTT AFB NE","RUCUSTR USSTRATCOM OFFUTT AFB NE","LOCATION"
"Netherlands Amsterdam","Netherlands Amsterdam","LOCATION"
"Canada Vancouver","Canada Vancouver","LOCATION"
"New Zealand Auckland","New Zealand Auckland","LOCATION"
"Commander Special Operations Command, United States Pacific Command","Commander Special Operations Command, United States Pacific Command","LOCATION"
"Commander, US Marine Corps Forces, Pacific","Commander, US Marine Corps Forces, Pacific","LOCATION"
"Laos Vientiane","Laos Vientiane","LOCATION"
"COMSOCCENT MACDILL AFB FL","COMSOCCENT MACDILL AFB FL","LOCATION"
"AMEMBASY BERLIN","AMEMBASY BERLIN","LOCATION"
"Brazil Recife","Brazil Recife","LOCATION"
"INDIACO MSGBN FT LAUDERDALE FL","INDIACO MSGBN FT LAUDERDALE FL","LOCATION"
"RUEADRO HQ ICE DRO WASHINGTON DC","RUEADRO HQ ICE DRO WASHINGTON DC","LOCATION"
"Grenada Grenada","Grenada Grenada","LOCATION"
"Jamaica Kingston","Jamaica Kingston","LOCATION"
"RUEAORD CUSTOMS CARIBBEAN ATTACHE MIAMI FL","RUEAORD CUSTOMS CARIBBEAN ATTACHE MIAMI FL","LOCATION"
"RHMFIUU DIR TCSC FORT BELVOIR VA","RHMFIUU DIR TCSC FORT BELVOIR VA","LOCATION"
"Costa Rica San Jose","Costa Rica San Jose","LOCATION"
"Trinidad and Tobago Port of Spain","Trinidad and Tobago Port of Spain","LOCATION"
"Secret Service (United States Secret Service)","Secret Service (United States Secret Service)","LOCATION"
"RUEHMI USOFFICE FRC FT LAUDERDALE","RUEHMI USOFFICE FRC FT LAUDERDALE","LOCATION"
"Dominican Republic Santo Domingo","Dominican Republic Santo Domingo","LOCATION"
